,Name,Marriage Dates,First Marriage Date,Divorce Dates,Marriage Lengths,Average Marriage Lengths
132,"Robert I, Duke of Parma",[],,[],[],
133,"Robert I, Latin Emperor",[],,[],[],
134,"Robert II, Count of Artois",[],,[],[],
135,"Robert II, Duke of Burgundy",[],,[],[],
136,"Robert III, Count of Flanders",[],,[],[],
137,Robert III of Artois,[],,[],[],
138,Robert III of Scotland,[],,[],[],
139,Robert III of Worms,[],,[],[],
140,Robert II of France,[],,[],[],
141,Robert II of Scotland,[],,[],[],
142,"Robert IV, Count of Dreux",[],,[],[],
143,Robert Irvine,[2012],2012.0,[],[],
144,Robert Ivers,[],,[],[],
145,Robert J. Cotter,[],,[],[],
146,Robert J. Flaherty,[],,[],[],
147,Robert James McMordie,[],,[],[],
148,Robert Jarvik,[1987],1987.0,[],[],
149,"Robert Jaworski, Jr.",[],,[],[],
150,Robert Joy,[],,[],[],
151,Robert Jubelirer,[],,[],[],
152,Robert K. Merton,[],,[],[],
153,Robert Kagan,[],,[],[],
154,Robert Kardashian,"[1978, 1998, 2003]",1978.0,[1991],[13],13.0
155,Robert Kean,[],,[],[],
156,Robert Keith (actor),[],,[],[],
157,Robert Kennedy (publisher),[],,[],[],
158,Robert Kent (actor),[1937],1937.0,[1941],[4],4.0
159,Robert Keohane,[],,[],[],
160,Robert Killigrew,[],,[],[],
161,Robert Klein,[],,[],[],
162,Robert Kocharyan,[],,[],[],
163,Robert Kraft,[],,[],[],
164,Robert L. Downing,[],,[],[],
165,Robert Lantos,[],,[],[],
166,Robert Lavonius,[],,[],[],
167,Robert Lawrence Kuhn,[],,[],[],
168,Robert Layton,[],,[],[],
169,Robert Lieberman,[],,[],[],
170,Robert Lindsay (actor),"[1974, 2006]",1974.0,[1980],[6],6.0
171,Robert Livingston (actor),[],,[],[],
172,"Robert Livingston Gerry, Sr.",[],,[],[],
173,Robert Loggia,[],,[],[],
174,Robert Longo,[],,[],[],
175,Robert Lopez,[],,[],[],
176,Robert Loraine,[],,[],[],
177,Robert Louis-Dreyfus,[1992],1992.0,[],[],
178,Robert Louis Stevenson,[],,[],[],
179,Robert Lowell,[],,[],[],
180,Robert Lowery (actor),[],,[],[],
181,Robert M. Fomon,[],,[],[],
182,Robert M. La Follette Sr.,[],,[],[],
183,Robert M. McDowell,[],,[],[],
184,Robert M. Morgenthau,[],,[],[],
185,Robert M. Place,[],,[],[],
186,Robert MacFarlan Cole III,[],,[],[],
187,Robert MacNaughton,[2012],2012.0,[],[],
188,Robert Mangold,[],,[],[],
189,Robert Manne,[],,[],[],
190,Robert Maxwell,[],,[],[],
191,Robert Maynard Hutchins,[],,[],[],
192,Robert McNamara,[],,[],[],
193,Robert McQueeney,[],,[],[],
194,Robert Menzies,[],,[],[],
195,Robert Mosbacher,[],,[],[],
196,Robert Mugabe,[],,[],[],
197,Robert Muldoon,[1951],1951.0,[],[],
198,Robert N. Fried,[],,[],[],
199,Robert Nathan,[],,[],[],
200,Robert Nederlander,[],,[],[],
201,Robert Noyce,[],,[],[],
202,Robert O. Peterson,[],,[],[],
203,Robert Ogden Doremus,[],,[],[],
204,Robert Oxnam,[],,[],[],
205,Robert P. Kogod,[],,[],[],
206,Robert Peary,[],,[],[],
207,Robert Peat,[],,[],[],
208,Robert Peston,[1998],1998.0,[],[],
209,Robert Pine,[],,[],[],
210,Robert Preston (actor),[],,[],[],
211,"Robert Radcliffe, 1st Earl of Sussex",[],,[],[],
212,Robert Redford,"[1958, 2009]",1958.0,[1985],[27],27.0
213,Robert Reid (author),[],,[],[],
214,Robert Ridder (politician),[],,[],[],
215,Robert Ripley,[],,[],[],
216,Robert Riskin,[1942],1942.0,[],[],
217,Robert Rodriguez,[],,[],[],
218,Robert Romanus,[],,[],[],
219,Robert Runcie,[],,[],[],
220,Robert S. Rivkin,[],,[],[],
221,Robert Sadington,[],,[],[],
222,Robert Sanderson McCormick,[],,[],[],
223,Robert Sangster,[],,[],[],
224,Robert Seaman,[],,[],[],
225,Robert Shaw (British actor),"[1952, 1963, 1976]",1952.0,[],[],
226,Robert Shayne,[],,[],[],
227,Robert Shea,[],,[],[],
228,Robert Sherrod,[],,[],[],
229,"Robert Sidney, 2nd Earl of Leicester",[],,[],[],
230,Robert Simpson (meteorologist),[],,[],[],
231,Robert Six,"[1953, 1961]",1953.0,[],[],
232,Robert Smith (Assistant Colonial Surgeon),[],,[],[],
233,"Robert Spencer, 2nd Earl of Sunderland",[1665],1665.0,[],[],
234,Robert Stack,[1956],1956.0,[],[],
235,Robert Stackhouse,[],,[],[],
236,Robert Stephens,"[1951, 1956, 1967, 1995]",1951.0,"[1952, 1967, 1974]","[1, 11, 7]",6.333333333333333
237,Robert Sterling,[],,[],[],
238,Robert Stevenson (director),[],,[],[],
239,"Robert Stewart, Duke of Albany",[],,[],[],
240,"Robert Stewart, Viscount Castlereagh",[],,[],[],
241,Robert Storr (banker),[],,[],[],
242,Robert Stout,[],,[],[],
243,Robert Tapert,[1998],1998.0,[],[],
244,Robert Taylor (Australian actor),[],,[],[],
245,Robert Taylor (actor),"[1939, 1954]",1939.0,[],[],
246,Robert Thurman,[],,[],[],
247,Robert Tilton,"[1968, 1994, 2002]",1968.0,"[1993, 1997]","[25, 3]",14.0
248,Robert Todd Lincoln,[],,[],[],
249,Robert Towne,[],,[],[],
250,Robert Travaglini,[],,[],[],
251,Robert Urich,"[1968, 1975]",1968.0,[],[],
252,Robert Urquhart (actor),[],,[],[],
253,Robert V. Jackson,[],,[],[],
254,Robert Vadra,[],,[],[],
255,Robert Viharo,[],,[],[],
256,Robert W. Floyd,[],,[],[],
257,Robert W. Glover,[],,[],[],
258,Robert W. Scott,[],,[],[],
259,Robert Wagner,"[1957, 1963, 1972, 1990]",1957.0,[],[],
260,Robert Walpole,"[1700, 1738]",1700.0,[],[],
261,Robert Warwick,[],,[],[],
262,Robert Wells (songwriter),[],,[],[],
263,Robert Wilcox (actor),[],,[],[],
264,Robert William Honner,[],,[],[],
265,Robert William Wilcox,[],,[],[],
266,Robert Williams (actor),"[1921, 1924]",1921.0,"[1922, 1925]","[1, 1]",1.0
267,Robert Williams Daniel,[],,[],[],
268,Robert Wilson Lynd,[],,[],[],
269,Robert Winthrop Chanler,[],,[],[],
270,Robert Wolders,[],,[],[],
271,Robert Wolgemuth,[],,[],[],
272,Robert Woods Bliss,[],,[],[],
273,Robert Woonton,[],,[],[],
274,Robert Wyler,[],,[],[],
275,Robert Z. Leonard,[],,[],[],
276,Robert Zemeckis,[],,[],[],
277,Robert Zimmer,[],,[],[],
278,"Robert de Beaumont, 2nd Earl of Leicester",[],,[],[],
279,"Robert de Brus, 5th Lord of Annandale",[],,[],[],
280,"Robert de Brus, 6th Lord of Annandale",[],,[],[],
281,"Robert de Holland, 1st Baron Holand",[],,[],[],
282,Robert de Ros (died 1227),[],,[],[],
283,"Robert de Vere, 3rd Earl of Oxford",[],,[],[],
284,"Robert de Vere, Duke of Ireland",[],,[],[],
285,"Robert of Bar, Count of Marle and Soissons",[],,[],[],
286,Roberta Dodd Crawford,[],,[],[],
287,Roberta McCain,[],,[],[],
288,Roberta Taylor,[1996],1996.0,[],[],
289,Roberta Weiss,[],,[],[],
290,Roberta Williams,[],,[],[],
291,"Roberte Ponsonby, Countess of Bessborough",[],,[],[],
292,Roberto Benabib,[],,[],[],
293,Roberto Benigni,[],,[],[],
294,Roberto Gómez Fernández,[],,[],[],
295,Roberto Longhi,[],,[],[],
296,Roberto Micheletti,[],,[],[],
297,Roberto Noble,[],,[],[],
298,Roberto Palazuelos,[1998],1998.0,[],[],
299,Roberto Rossellini,"[1934, 1936, 1950, 1957]",1934.0,"[1950, 1957]","[16, 21]",18.5
300,Roberto Sánchez Vilella,[],,[],[],
301,Roberts Blossom,[],,[],[],
302,Robertson Stewart,[],,[],[],
303,Robin Askwith,[],,[],[],
304,Robin Bartlett,[],,[],[],
305,"Robin Bridgeman, 3rd Viscount Bridgeman",[],,[],[],
306,Robin Chandler Duke,"[1946, 1962]",1946.0,[1958],[12],12.0
307,Robin Christopher,[],,[],[],
308,Robin Curtis,[],,[],[],
309,Robin Day (designer),[],,[],[],
310,Robin Dunne,[],,[],[],
311,Robin Givens,"[1988, 1997]",1988.0,"[1989, 1998]","[1, 1]",1.0
312,Robin Green,[],,[],[],
313,Robin Hood (Once Upon a Time),[],,[],[],
314,Robin Kelley,[],,[],[],
315,Robin Kinahan,[],,[],[],
316,Robin Mattson,[],,[],[],
317,Robin McKinley,[],,[],[],
318,Robin Medforth-Mills,[1983],1983.0,[1991],[8],8.0
319,Robin Monotti Graziadei,[],,[],[],
320,Robin Morgan,[],,[],[],
321,Robin Padilla,"[1996, 2010]",1996.0,[2010],[14],14.0
322,Robin Pappas,[],,[],[],
323,Robin Raphel,[],,[],[],
324,Robin Sachs,[],,[],[],
325,Robin Scherbatsky,[],,[],[],
326,Robin Smith (bishop),[],,[],[],
327,Robin Strasser,[],,[],[],
328,Robin Swicord,[1984],1984.0,[],[],
329,Robin Thicke,[2005],2005.0,[2015],[10],10.0
330,Robin Williams,"[1978, 1989, 2011]",1978.0,"[1988, 2010]","[10, 21]",15.5
331,Robin Wright,"[1986, 1996]",1986.0,"[1988, 2010]","[2, 14]",8.0
332,Robyn Butler,[],,[],[],
333,Robyn Lively,[1999],1999.0,[],[],
334,Robyn Nevin,[],,[],[],
335,Rocco Perri,[],,[],[],
336,Rochelle Humes,[2012],2012.0,[],[],
337,Rock Hudson,[1955],1955.0,[],[],
338,Rockliffe Fellowes,[],,[],[],
339,Rockne Tarkington,[],,[],[],
340,Rod Amateau,[],,[],[],
341,Rod Blagojevich,[],,[],[],
342,Rod La Rocque,[1927],1927.0,[],[],
343,Rod Lurie,[],,[],[],
344,Rod Mullinar,[],,[],[],
345,Rod Stryker,[],,[],[],
346,Rodelle Weintraub,[],,[],[],
347,Roderick Murchison,[],,[],[],
348,Rodney Hide,[],,[],[],
349,Rodney Peppé,[],,[],[],
350,Rodolfo Nieto,[],,[],[],
351,Rodric Braithwaite,[],,[],[],
352,Rodrigo de Quiroga,[],,[],[],
353,Rogelio de la Rosa,[],,[],[],
354,Roger Allam,[],,[],[],
355,Roger Angell,[],,[],[],
356,"Roger Bigod, 2nd Earl of Norfolk",[],,[],[],
357,Roger Bingham,[],,[],[],
358,Roger Cohen,[],,[],[],
359,Roger Corman,[1970],1970.0,[],[],
360,Roger Davis (television actor),[],,[],[],
361,Roger II of Sicily,[],,[],[],
362,Roger I of Sicily,[],,[],[],
363,Roger K. Furse,[],,[],[],
364,Roger Kwok,[],,[],[],
365,Roger Lancelyn Green,[],,[],[],
366,"Roger Liddle, Baron Liddle",[],,[],[],
367,Roger Livesey,[],,[],[],
368,Roger Michell,[],,[],[],
369,Roger Moore,"[1946, 1953, 1969, 2002]",1946.0,[],[],
370,"Roger Mortimer, 1st Earl of March",[],,[],[],
371,"Roger Mortimer, 4th Earl of March",[],,[],[],
372,Roger Moyer,[],,[],[],
373,Roger Needham,[],,[],[],
374,Roger Newman,[],,[],[],
375,Roger Nordlund,[],,[],[],
376,Roger Payne,"[1960, 1991]",1960.0,[1985],[25],25.0
377,Roger Pryor (actor),[],,[],[],
378,Roger Rees,[2011],2011.0,[],[],
379,Roger Sherman,[],,[],[],
380,Roger Sherman Baldwin,[],,[],[],
381,Roger Smith (actor),"[1956, 1967]",1956.0,[1965],[9],9.0
382,Roger Smith (journalist),[],,[],[],
383,Roger Spottiswoode,[],,[],[],
384,Roger Vadim,[],,[],[],
385,"Roger W. Ferguson, Jr.",[],,[],[],
386,Roger Wilson (actor),[],,[],[],
387,Roger de Beauvoir,[],,[],[],
388,"Roger de Rabutin, Comte de Bussy",[],,[],[],
389,Rogneda of Polotsk,[],,[],[],
390,Roh Moo-hyun,[],,[],[],
391,Roh Tae-woo,[],,[],[],
392,Rohese de Clare,[],,[],[],
393,Rohese of Monmouth,[],,[],[],
394,Rohitha Bogollagama,[],,[],[],
395,Roja (actress),[],,[],[],
396,Roland Bonaparte,[],,[],[],
397,Roland Burton,[],,[],[],
398,"Roland Cubitt, 3rd Baron Ashcombe",[],,[],[],
399,Roland Curram,[],,[],[],
400,Roland Freisler,[1928],1928.0,[],[],
401,Roland Hedlund,[1964],1964.0,[],[],
402,Roland J. Green,[],,[],[],
403,Roland Joffé,[1974],1974.0,[],[],
404,Roland Michener,[],,[],[],
405,Roland Penrose,[],,[],[],
406,Roland Petit,[],,[],[],
407,Roland Toutain,[],,[],[],
408,Rolf Dahlgren,[],,[],[],
409,Rolf Lassgård,[1982],1982.0,[],[],
410,Rolf Zacher,[],,[],[],
411,Rollo,[],,[],[],
412,Rolly Bester,[1936],1936.0,[],[],
413,Roma Downey,[2007],2007.0,[],[],
414,Romain Gary,[],,[],[],
415,Roman Abramovich,"[1987, 1991]",1987.0,[],[],
416,Roman Grant,[],,[],[],
417,Roman Herzog,[],,[],[],
418,Roman Jacek Czartoryski,[],,[],[],
419,Roman Polanski,"[1959, 1968, 1989]",1959.0,[1962],[3],3.0
420,Roman Potocki,[],,[],[],
421,Roman Romanovich Kachanov,[],,[],[],
422,Roman Sanguszko,[],,[],[],
423,Romesh Chunder Dutt,[],,[],[],
424,Romina Power,[],,[],[],
425,Romit Raj,[],,[],[],
426,Romola Garai,[2014],2014.0,[],[],
427,Romulus Cioflec,[],,[],[],
428,Romy Rosemont,[2008],2008.0,[],[],
429,Romy Schneider,[],,[],[],
430,Roméo LeBlanc,[],,[],[],
431,Ron Balicki,[],,[],[],
432,Ron Cease,[],,[],[],
433,Ron Davies (Welsh politician),[],,[],[],
434,Ron Holgate,[],,[],[],
435,Ron Leibman,"[1969, 1983]",1969.0,[1981],[12],12.0
436,Ron Lieber,[],,[],[],
437,Ron Livingston,[2009],2009.0,[],[],
438,Ron Pickering,[],,[],[],
439,Ron Randell,[],,[],[],
440,Ron W. Miller,[1954],1954.0,[],[],
441,Ron White,[],,[],[],
442,Rona Anderson,[],,[],[],
443,Ronald Allen,[],,[],[],
444,Ronald Armstrong-Jones,"[1925, 1936, 1960]",1925.0,"[1934, 1959]","[9, 23]",16.0
445,Ronald Blanco La Cruz,[],,[],[],
446,Ronald Cheng,[],,[],[],
447,Ronald Colman,[],,[],[],
448,Ronald Ferguson,[],,[],[],
449,Ronald Lindsay,[],,[],[],
450,Ronald Paris,[],,[],[],
451,Ronald Perelman,[],,[],[],
452,Ronald Pickup,[],,[],[],
453,Ronald Reagan,"[1940, 1952]",1940.0,[],[],
454,Ronald Wilson,[],,[],[],
455,Ronee Blakley,[1979],1979.0,[],[],
456,Ronit Lentin,[],,[],[],
457,Ronn Moss,[],,[],[],
458,Ronna Romney,[],,[],[],
459,Ronnie Barrett,[],,[],[],
460,Ronnie Eldridge,[],,[],[],
461,Ronnie Musgrove,[],,[],[],
462,Ronnie Screwvala,[],,[],[],
463,Rookantha Gunathilake,[],,[],[],
464,Roopak Saluja,[2007],2007.0,[],[],
465,Rory Cellan-Jones,[],,[],[],
466,Rory Lee Feek,[],,[],[],
467,Rosa Beddington,[],,[],[],
468,Rosa Blasi,"[2004, 2014]",2004.0,[2008],[4],4.0
469,Rosa Carmina,[],,[],[],
470,Rosa DeLauro,[],,[],[],
471,Rosa Elena Bonilla,[],,[],[],
472,Rosa Helena Álvarez Yepes,[],,[],[],
473,Rosa Kato,[],,[],[],
474,Rosa Sonneschein,[1864],1864.0,[],[],
475,Rosalie Abella,[],,[],[],
476,Rosalie Craig,[],,[],[],
477,Rosalie Crutchley,[],,[],[],
478,Rosalie Stier Calvert,[],,[],[],
479,Rosalind Ayres,[],,[],[],
480,Rosalind Bennett,[],,[],[],
481,Rosalind Chao,[],,[],[],
482,Rosalind Knight,[],,[],[],
483,Rosalind Miles (actress),"[1973, 1979]",1973.0,[1977],[4],4.0
484,Rosalind Pitt-Rivers,[],,[],[],
485,Rosaline Bozimo,[],,[],[],
486,Rosalyn Higgins,[],,[],[],
487,Rosalynn Carter,[],,[],[],
488,Rosalía Arteaga,[],,[],[],
489,Rosalía Mera,[],,[],[],
490,Rosalía de Castro,[],,[],[],
491,Rosamund John,[],,[],[],
492,Rosane Collor,[],,[],[],
493,Rosanna DeSoto,[],,[],[],
494,Rosanna Marani,[],,[],[],
495,Rosario Salazar,[],,[],[],
496,Roscoe Arbuckle,"[1908, 1925, 1932]",1908.0,"[1925, 1929]","[17, 4]",10.5
497,Rose A. George,[],,[],[],
498,Rose Edith Kelly,[],,[],[],
499,Rose Friedman,[],,[],[],
500,Rose Frisch,[],,[],[],
501,Rose Jackson (actress),[],,[],[],
502,Rose Kaufman,[],,[],[],
503,Rose Kennedy,[1914],1914.0,[],[],
504,Rose Kerr,[],,[],[],
505,"Rose Leveson-Gower, Countess Granville",[],,[],[],
506,Rose McConnell Long,[],,[],[],
507,Rose McGowan,[2013],2013.0,[2016],[3],3.0
508,Rose Plumer,[],,[],[],
