Column,Use
veneratedIn_label,0
veneratedIn,0
viafId,0
vicePresident_label,0
vicePresident,0
vicePrimeMinister_label,0
vicePrimeMinister,0
voice_label,0
voice,0
voiceType_label,0
voiceType,0
waistSize,1
weight,1
whaDraft,0
whaDraftTeam_label,0
whaDraftTeam,0
wins,0
winsAtAsia_label,0
winsAtAsia,0
winsAtAus_label,0
winsAtAus,0
winsAtChallenges_label,0
winsAtChallenges,0
winsAtChampionships_label,0
winsAtChampionships,0
winsAtJapan_label,0
winsAtJapan,0
winsAtLET_label,0
winsAtLET,0
winsAtLPGA_label,0
winsAtLPGA,0
winsAtMajors_label,0
winsAtMajors,0
winsAtNWIDE_label,0
winsAtNWIDE,0
winsAtOtherTournaments_label,0
winsAtOtherTournaments,0
winsAtPGA_label,0
winsAtPGA,0
winsAtProTournaments_label,0
winsAtProTournaments,0
winsInEurope_label,0
winsInEurope,0
worldChampionTitleYear,0
writer_label,0
writer,0
year,1
description,0
point,0
22-rdf-syntax-ns#type_label,1
22-rdf-syntax-ns#type,1
rdf-schema#seeAlso_label,1
rdf-schema#seeAlso,1
owl#differentFrom_label,1
owl#differentFrom,1
wgs84_pos#lat,1
wgs84_pos#long,1
